Гори                :::s9620342            
32 км               :::s9609781            
75 км               :::s9609782            
№ 3                 :::s9609783            
33 км               :::s9609784            
№ 5                 :::s9609785            
44 км               :::s9609786            
№ 6                 :::s9609787            
132 км              :::s9609788            
Ванюши              :::s9609791            
Компрессорный завод (143 км):::s9609817            
120 км              :::s9609818            
62 км               :::s9609820            
49 км               :::s9609821            
44 км               :::s9609827            
154 км              :::s9609834            
Новая Платформа     :::s9609838            
Анбашская           :::s9609863            
29 км               :::s9609866            
Край                :::s9609869            
1871км              :::s9609896            
Начальное           :::s9609917            
Пещерная            :::s9609919            
Супряк              :::s9609921            
Смеловская          :::s9609922            
Знойное             :::s9609923            
Тумак               :::s9609925            
Кумысное            :::s9609936            
1885 км             :::s9609948            
Каширинский         :::s9609964            
96 км               :::s9609970            
2128 км             :::s9609977            
2033 км             :::s9609978            
226 км              :::s9609981            
198 км              :::s9609984            
2042 км             :::s9609985            
187 км              :::s9609988            
1931 км             :::s9609989            
182 км              :::s9609992            
141 км              :::s9609993            
1856 км             :::s9610004            
1846 км             :::s9610005            
2000 км             :::s9610007            
17 км               :::s9610008            
1895 км             :::s9610010            
35 км               :::s9610011            
1799 км             :::s9610012            
376 км              :::s9610013            
Минка               :::s9610015            
2008 км             :::s9610017            
Коркодин            :::s9610019            
1822 км             :::s9610022            
1843 км             :::s9610027            
Карский             :::s9610037            
Статейка            :::s9610039            
Арчалы              :::s9610040            
1863 км             :::s9610041            
Скляр               :::s9610042            
2047 км             :::s9610088            
2068 км             :::s9610089            
47 км               :::s9610092            
2137 км             :::s9610093            
43 км               :::s9610097            
Борисовка           :::s9610098            
1927 км             :::s9610102            
382 км              :::s9610105            
Тимофеевка          :::s9610109            
441 км              :::s9610113            
Шахматово           :::s9610116            
1880 км             :::s9610117            
Тактыбай            :::s9610121            
Сезонное            :::s9610122            
Саксан              :::s9610126            
1913 км             :::s9610128            
Аджатар             :::s9610139            
2015 км             :::s9610140            
Система             :::s9610146            
Парк Б              :::s9634581            
Парк Г              :::s9634582            
2059 км             :::s9730709            
Тургояк             :::s9730710            
1988 км             :::s9730711            
Таганай             :::s9730712            
Единовер            :::s9730713            
118 км              :::s9730714            
19 км               :::s9730715            
2126 км             :::s9730716            
2130 км             :::s9730717            
2142 км             :::s9730718            
110 км              :::s9730720            
245 км              :::s9730721            
244 км              :::s9730722            
241 км              :::s9730723            
239 км              :::s9730724            
236 км              :::s9730725            
Чеславка            :::s9730726            
300 км              :::s9730748            
294 км              :::s9730749            
22 км               :::s9730754            
Кропачёво           :::s9609548            
Снежинск муп        :::s9610147            
Бреды               :::s9609458            
Аша                 :::s9606523            
Аргаяш              :::s9609444            
Кыштым              :::s9609578            
Миасс-2             :::s9609395            
Миасс-1             :::s9609498            
Миасс (Старый вокзал):::s9610083            
Тамерлан            :::s9609372            
Сатка               :::s9609409            
Щебзаводская        :::s9609686            
Еманжелинск         :::s9609384            
Бердяуш             :::s9609406            
Бакал               :::s9609410            
Матвеев Курган      :::s9612944            
Краснобумажник      :::s9613338            
Чертково            :::s9613485            
Кутейниково         :::s9865586            
Лихая               :::s9613486            
Азов                :::s9613045            
Аксай               :::s9613505            
Стеклозавод         :::s9613654            
Берданосовка        :::s9613655            
Батайск             :::s9613017            
Техникум (1361 км)  :::s9613373            
ВЧД (1359 км, 3 км) :::s9613827            
Электродепо (1354 км):::s9613374            
Стройдеталь (5 км)  :::s9613618            
Ягодка              :::s9875582            
Белая Калитва       :::s9613467            
Волгодонская        :::s9613049            
Гуково              :::s9613462            
Атаман              :::s9613159            
Неклиновка          :::s9613156            
Северо-Покровское   :::s9613787            
Ростов-Главный      :::s9612913            
Гниловская          :::s9613463            
Первомайская        :::s9613480            
Рабочий Городок     :::s9613267            
Темерник            :::s9613515            
Ростов-Западный     :::s9613521            
Сельмаш             :::s9613820            
Ростов-Тов.         :::s9612914            
Заречная            :::s9612981            
1337 км             :::s9613376            
Ростов-Берег        :::s9613522            
Зоологический Сад   :::s9613651            
Развилка            :::s9613652            
Красный Аксай       :::s9613653            
Левенцовская        :::s9613763            
Кизитеринка         :::s9613822            
Ростов Гл Тур       :::s9879066            
Орджоникидзе        :::s9634290            
Проспект Октября    :::s9634338            
Микояна             :::s9634339            
Ростов-Пригородный  :::s9650628            
Ростов (город)      :::s9612912            
Каяла               :::s9612917            
Тацинская           :::s9613472            
Зверево             :::s9613088            
Пролетарская        :::s9612956            
Цимлянская          :::s9613178            
Шахтная             :::s9613104            
Грушевский Антрацит :::s9613688            
1136 км             :::s9613665            
Кирпичный (1129 км) :::s9613666            
Хотунок             :::s9612999            
Новочеркасск        :::s9613132            
Цикуновка (Студенческая):::s9613661            
Сальск              :::s9613002            
Таганрог-1-пасс.    :::s9613171            
Таганрог (скрыта)   :::s9613188            
Таганрог (старый вокзал):::s9613483            
Марцево             :::s9613786            
Мебельный Комбинат (1 км):::s9634301            
Красный Котельщик (3 км):::s9634302            
Черевково           :::s9613183            
1330 км             :::s9613377            
Предугольная        :::s9613440            
Замчалово           :::s9613460            
Боченково           :::s9613645            
Лесостепь           :::s9613669            
Сады (4 км)         :::s9613764            
Хапры               :::s9613771            
1078 км             :::s9634293            
Виноградовка        :::s9865587            
Сохрановка          :::s9869086            
Цымла               :::s9605975            
Вознесенский        :::s9605978            
Секретёв            :::s9606067            
Персиановка         :::s9612915            
Локомотивстрой      :::s9612916            
Морская             :::s9612935            
Синявская           :::s9612936            
Юбилейная           :::s9613015            
Успенская           :::s9613150            
Закадычное          :::s9613152            
Конармейская        :::s9613153            
Кошкино             :::s9613157            
Трубецкая           :::s9613163            
Развильная          :::s9613170            
Семичная            :::s9613174            
Кутейниковская      :::s9613175            
Саловский           :::s9613177            
Ельмут              :::s9613179            
Шаблиевская         :::s9613182            
Мокрый Чалтырь      :::s9613249            
Сафьяново           :::s9613250            
Морской Чулек       :::s9613251            
Мержаново           :::s9613252            
Приморка            :::s9613253            
Вареновка           :::s9613254            
Бессергеновка (1286 км):::s9613255            
Кулешовский         :::s9613268            
Ряженое             :::s9613289            
169 км              :::s9613331            
Минаевский          :::s9613335            
Миусский            :::s9613342            
1388 км             :::s9613366            
1386 км             :::s9613367            
1376 км             :::s9613368            
Кочеванчик          :::s9613369            
1373 км             :::s9613370            
1370 км             :::s9613371            
Гайдаш              :::s9613372            
Мартыново           :::s9613378            
Недвиговка (1314 км):::s9613379            
Танаис              :::s9613380            
1300 км             :::s9613381            
1283 км             :::s9613383            
Быстрый             :::s9613426            
Мелиоративный       :::s9613441            
Сал                 :::s9613442            
Веселый             :::s9613443            
Амта                :::s9613444            
Хутуны              :::s9613445            
Шептуховка          :::s9613446            
Кугей               :::s9613447            
Красновка           :::s9613449            
Сутурмино           :::s9613450            
Чеботовка           :::s9613451            
Старая Станица      :::s9613452            
Васильево-Петровская:::s9613454            
Погорелово          :::s9613456            
Плешаково           :::s9613459            
Заповедная          :::s9613461            
Репная              :::s9613464            
Васильевский        :::s9613465            
Богураево           :::s9613466            
Какичев             :::s9613468            
Грачи               :::s9613469            
Жирнов              :::s9613470            
Быстрореченская     :::s9613471            
Вальково            :::s9613474            
Ковылкин            :::s9613477            
Черкасская          :::s9613479            
Мальчевская         :::s9613482            
Дяткино             :::s9613484            
Карьер 122 км       :::s9613487            
Дороговский         :::s9613489            
Мечетный            :::s9613493            
Маныч               :::s9613507            
Зверевская          :::s9613513            
Койсуг              :::s9613519            
Орловка (1418 км)   :::s9613597            
1406 км             :::s9613599            
Еремеево (1382 км)  :::s9613600            
1375 км             :::s9613601            
8 км                :::s9613620            
12 км               :::s9613621            
23 км               :::s9613622            
Красногоровка (27 км):::s9613623            
1070 км             :::s9613625            
1064 км             :::s9613627            
1055 км             :::s9613629            
1051 км             :::s9613630            
Северо-Донецкая (Северский Донец):::s9613631            
1045 км             :::s9613632            
1043 км             :::s9613633            
1040 км             :::s9613634            
1034 км             :::s9613635            
1032 км             :::s9613636            
1022 км             :::s9613637            
1020 км             :::s9613638            
1018 км             :::s9613639            
1008 км             :::s9613641            
995 км              :::s9613642            
983 км              :::s9613643            
972 км              :::s9613644            
940 км              :::s9613646            
Сысоево             :::s9613648            
Высочино            :::s9613650            
Большой Лог         :::s9613656            
Пчеловодная         :::s9613657            
Александровка       :::s9613658            
Мишкинская          :::s9613659            
Малое Мишкино (1178 км):::s9613660            
НЭВЗ (1165 км)      :::s9613662            
Совхоз-10 (1148 км) :::s9613663            
Дорурс (1144 км)    :::s9613664            
Атюхта (Сады)       :::s9613667            
Питомник (1123 км)  :::s9613668            
Кундрючий           :::s9613670            
1108 км             :::s9613671            
Лесхоз (1115 км)    :::s9613680            
928 км              :::s9613683            
917 км              :::s9613684            
Маньково            :::s9613685            
903 км              :::s9613686            
Власовские Копи     :::s9613687            
146 км              :::s9613714            
136 км              :::s9613715            
124 км              :::s9613716            
113 км              :::s9613717            
89 км               :::s9613719            
79 км               :::s9613721            
55 км               :::s9613726            
47 км               :::s9613727            
Горная              :::s9613733            
Новомихайловская    :::s9613742            
65 км               :::s9613744            
62 км               :::s9613745            
58 км               :::s9613746            
53 км               :::s9613747            
Краснокурганная     :::s9613748            
39 км               :::s9613750            
Керчик              :::s9613751            
Кадамовка           :::s9613752            
Гривенная           :::s9613753            
Самарский           :::s9613755            
1229 км             :::s9613756            
Колесниковский      :::s9613757            
1262 км             :::s9613758            
Каратаево (3 км)    :::s9613765            
Красный Маяк        :::s9613766            
1027 км             :::s9613768            
Мокрый Батай        :::s9613789            
Мечетинская         :::s9613791            
Восточный           :::s9613809            
Забытый             :::s9613810            
Крученая            :::s9613811            
Поливянский         :::s9613812            
Сандатовский        :::s9613813            
Раздорский          :::s9613816            
Казачьи Лагери      :::s9613821            
Лаврово             :::s9613831            
1352 км             :::s9634279            
1379 км             :::s9634280            
Николаевка-Высочино (1379 км):::s9634281            
1387 км             :::s9634282            
21 км               :::s9634284            
12 км (Весна)       :::s9634285            
41 км               :::s9634286            
43 км               :::s9634287            
45 км               :::s9634288            
1193 км             :::s9634291            
1184 км             :::s9634292            
1006 км             :::s9634294            
992 км              :::s9634295            
976 км              :::s9634296            
961 км              :::s9634297            
958 км              :::s9634298            
1295км              :::s9634299            
Михайловка (1282 км):::s9634300            
96 км               :::s9634303            
215 км              :::s9634315            
206 км              :::s9634316            
158 км              :::s9634318            
БП 19 Км            :::s9634413            
Б/П 7 Км            :::s9634414            
Пост Эц-2           :::s9634559            
Хапры (VБ)          :::s9634633            
Колодези            :::s9870676            
Сергеевка           :::s9872255            
Михайло-Леонтьевская:::s9613826            
Несветай            :::s9613532            
Морозовская-Южная   :::s9613475            
Морозовская         :::s9613488            
Гашун               :::s9613172            
Зимовники           :::s9613195            
Зерноград           :::s9613155            
Каменская           :::s9613457            
1038 км             :::s9613458            
Каменоломни         :::s9613734            
Сулин               :::s9613117            
Красный Сулин       :::s9613672            
Миллерово           :::s9613264            
Песчанокопская      :::s9613169            
Краснодонецкая      :::s9613499            
Тарасовка           :::s9613453            
Обливская           :::s9605894            
Двойная             :::s9613039            
Кагальник           :::s9613154            
Усть-Донецкая       :::s9613518            
Куберле             :::s9612977            
Ремонтная           :::s9613173            
Глубокая            :::s9613455            
Целина              :::s9613162            
Анадырь чао         :::s9610908            
Верхний Баскунчак   :::s9605960            
85 км               :::s9605958            
Олейниково          :::s9605734            
Магистральный (1486 км):::s9605724            
Бузанский           :::s9605969            
Мартовский          :::s9605596            
Солончак            :::s9605609            
Рычинский           :::s9605614            
Селитренский        :::s9605616            
Нижний Баскунчак    :::s9605639            
Новоурусовка (1492 км):::s9605655            
1396 км             :::s9605658            
1459 км             :::s9605659            
1519 км             :::s9605660            
1507 км             :::s9605661            
Зензели             :::s9605673            
Чернобыльный        :::s9605687            
Комсомольский поселок (1472 км):::s9605723            
Бузан-Пристань (1489 км):::s9605725            
1512 км             :::s9605727            
1516 км             :::s9605728            
1521 км             :::s9605729            
№ 2                 :::s9605731            
№ 4                 :::s9605732            
Пологое займище     :::s9605927            
Богдо               :::s9605962            
Верблюжья           :::s9605964            
Чапчачи             :::s9605965            
Ашулук              :::s9605966            
Досанг              :::s9605967            
Дельта              :::s9605971            
Сероглазово         :::s9605976            
Хошеутовский        :::s9606056            
Покровка            :::s9606066            
Басинская           :::s9606075            
Линейная            :::s9606076            
Ильменный           :::s9606077            
№ 3                 :::s9606078            
Кигаш               :::s9619596            
ГПЗ                 :::s9634274            
Серная              :::s9634275            
1514 км             :::s9634276            
Яндыки              :::s9634278            
1509 км             :::s9746356            
№2                  :::s9757113            
Харабалинская       :::s9605963            
Кутум               :::s9605589            
Астрахань-2         :::s9605619            
Астрахань-1         :::s9605765            
422 км              :::s9605730            
Трусово             :::s9605972            
Юго-восток          :::s9606043            
Софьи Перовской     :::s9606046            
Мостострой          :::s9634277            
Капустин Яр         :::s9605926            
Владимировка        :::s9605928            
Ахтуба              :::s9605929            
Аксарайская-2       :::s9605630            
Аксарайская-1       :::s9605968            
Ува-1               :::s9612326            
Ува-2               :::s9612575            
Кизнер              :::s9612329            
Камбарка            :::s9612660            
Сарапул             :::s9612363            
Алнаши              :::s9612175            
Пибаньшур           :::s9612311            
Люкшудья            :::s9612323            
Армязь              :::s9612338            
Диньшур             :::s9612544            
9 км                :::s9612571            
Шур                 :::s9612663            
6 км                :::s9657414            
Беркуты             :::s9600330            
Кильмезь            :::s9600331            
Чепца               :::s9607405            
Кабалуд             :::s9607407            
Кузьма              :::s9607408            
Филинцы             :::s9608094            
Лып                 :::s9608095            
Ключевское          :::s9608096            
Сегедур             :::s9608097            
Пушмези             :::s9608099            
Кокмож              :::s9612094            
Перелом             :::s9612109            
Сюгаил              :::s9612114            
Сюрек               :::s9612115            
Ужуиха              :::s9612118            
Кияик               :::s9612130            
Карамбай            :::s9612137            
Пост 1217 км        :::s9612252            
Кожиль              :::s9612309            
Зилай               :::s9612312            
Андрейшур           :::s9612313            
Люк                 :::s9612315            
Меньил              :::s9612316            
Кушья               :::s9612317            
Лоза                :::s9612318            
Пастухово           :::s9612319            
Кекоран             :::s9612320            
Чур                 :::s9612321            
Угловой             :::s9612322            
Областная           :::s9612327            
Азино               :::s9612328            
Ягул                :::s9612330            
Саркуз              :::s9612331            
Люга                :::s9612332            
Пычас               :::s9612334            
Уром                :::s9612335            
Кичево              :::s9612337            
Шолья               :::s9612339            
Бачумово            :::s9612442            
Лынга               :::s9612462            
Дизьмино            :::s9612467            
Убыть               :::s9612468            
1136 км (Балышур)   :::s9612473            
Кочетло             :::s9612490            
Квака               :::s9612515            
23 км               :::s9612521            
8 км                :::s9612522            
Пудемский           :::s9612543            
4 км                :::s9612570            
17 км               :::s9612572            
1147 км             :::s9612582            
1150 км             :::s9612583            
1169 км             :::s9612584            
1177 км             :::s9612585            
1186 км             :::s9612586            
Совхозный           :::s9612594            
1079 км             :::s9612610            
1050 км             :::s9612629            
Каркалай            :::s9612652            
Бугрыш              :::s9612665            
Юски                :::s9612669            
Кама                :::s9612678            
Лудзя               :::s9612691            
27 км               :::s9612700            
Совхоз Удмуртский   :::s9612717            
58 км               :::s9612720            
Сундуково           :::s9612726            
Кварса              :::s9612730            
Успьян              :::s9612735            
Туктым              :::s9612740            
Гожня               :::s9612744            
Сада                :::s9612765            
Мултан              :::s9612776            
Чумойтло            :::s9612777            
Шевырялово          :::s9612778            
Июль                :::s9612780            
Торфяница           :::s9612792            
Пестовка            :::s9612815            
Безум               :::s9612818            
Болгуры             :::s9612821            
Вожой               :::s9612824            
Синтек              :::s9612847            
Балезино Вп         :::s9634398            
Яр Парк В           :::s9634730            
236 км (Асановский) :::s9635431            
1113 км             :::s9656710            
1120 км             :::s9656711            
1127 км             :::s9656712            
1189 км             :::s9656713            
Яр - парк В         :::s9656714            
988 км              :::s9657400            
993 км              :::s9657401            
1007 км             :::s9657402            
1016 км             :::s9657403            
Сардан              :::s9657404            
1024 км             :::s9657405            
1030 км             :::s9657406            
1035 км             :::s9657407            
1055 км             :::s9657408            
1060 км             :::s9657409            
1072 км             :::s9657410            
1083 км             :::s9657411            
Горочный пост       :::s9657412            
5 км                :::s9657413            
Совхозный           :::s9657415            
105 км              :::s9657416            
88 км               :::s9657417            
63 км               :::s9657418            
49 км               :::s9657419            
5 км                :::s9657420            
45 км               :::s9657421            
50 км               :::s9657422            
61 км               :::s9657423            
70 км               :::s9657424            
78 км               :::s9657425            
95 км               :::s9657426            
46 км               :::s9657432            
49 км               :::s9657433            
53 км               :::s9657434            
1117 км             :::s9657435            
1129 км             :::s9657436            
1136 км             :::s9657437            
1149 км             :::s9657438            
8 км                :::s9657439            
1169 км             :::s9657440            
981 км              :::s9746355            
31 км               :::s9830451            
Яр                  :::s9612294            
Можга               :::s9612353            
Глазов              :::s9612333            
Кез                 :::s9607406            
Игра                :::s9612343            
Вавож               :::s9612667            
Балезино            :::s9612310            
Ижевск              :::s9612140            
Позимь              :::s9612689            
Заводская           :::s9612325            
Воложка             :::s9612859            
Лесозаводская       :::s9880559            
Воткинск            :::s9612366            
Аркадак             :::s9605318            
Аткарск             :::s9605834            
Ершов               :::s9605924            
Балашов-Пасс.       :::s9605325            
Балашов-1           :::s9605327            
Балашов-2           :::s9605207            
Балашов             :::s9605293            
Вольск 1            :::s9605690            
Вольск-2            :::s9605908            
Привольская         :::s9605983            
Покровск-Приволжский:::s9606003            
2 км (Переезд)      :::s9730686            
Александров Гай     :::s9605949            
Балаково            :::s9605909            
Транзитный парк Балаково:::s9730698            
Красный Кут         :::s9605944            
Калининск-Саратовский:::s9605815            
Ртищево-2           :::s9604783            
Ртищево-1           :::s9605308            
665 км              :::s9605254            
Петровск-Саратовский:::s9605854            
Новоузенск          :::s9605953            
Саратов-1-Пасс.     :::s9623135            
Трофимовский-1      :::s9605624            
Депо (Локомотивное депо):::s9605662            
Саратов-3           :::s9605663            
Студенческий Городок:::s9605691            
Площадь Ленина      :::s9605692            
Молодёжная          :::s9605693            
Астраханский переезд:::s9605699            
Зуборезный          :::s9605748            
Вагонное Депо       :::s9606079            
Саратов-2           :::s9730685            
Кокурино            :::s9600229            
Сокурский Тракт     :::s9605666            
860 км              :::s9605669            
Завод Контакт       :::s9605697            
Подшипник           :::s9605749            
Комсомольский       :::s9605750            
Примыкание          :::s9605841            
Техстекло           :::s9606014            
Московское Шоссе    :::s9606048            
Саратов-2-Тов.      :::s9606069            
Радужный            :::s9606074            
Карамыш             :::s9605846            
Анисовка            :::s9605916            
Екатериновка        :::s9605824            
Шиханы              :::s9605907            
Лысые Горы          :::s9605816            
Тополек             :::s9605930            
Галанино            :::s9605668            
Елховка             :::s9605838            
Красавка            :::s9605897            
10 км               :::s9604819            
22 км               :::s9604820            
26 км               :::s9604821            
37 км               :::s9604822            
56 км               :::s9604823            
70 км               :::s9604824            
75 км               :::s9604825            
82 км               :::s9604826            
Шуклино             :::s9604827            
116 км              :::s9604828            
127 км              :::s9604829            
662 км              :::s9605202            
193 км              :::s9605208            
190 км              :::s9605209            
106 км              :::s9605210            
59 км               :::s9605211            
13 км               :::s9605212            
130 км              :::s9605219            
463 км              :::s9605227            
173 км              :::s9605259            
643 км              :::s9605280            
646 км              :::s9605281            
Подгоренка          :::s9605282            
653 км              :::s9605283            
658 км              :::s9605284            
670 км              :::s9605285            
Байка               :::s9605302            
Дубасовский         :::s9605303            
Потьма              :::s9605304            
Кистендей           :::s9605305            
Андреевка           :::s9605306            
Летяжевка           :::s9605309            
Памятка             :::s9605310            
Пады                :::s9605311            
Красная Заря        :::s9605312            
Зорька              :::s9605313            
Родничек            :::s9605314            
Макашевка           :::s9605315            
Таволжанка          :::s9605323            
Пинеровка           :::s9605324            
Степное             :::s9605326            
Святославка         :::s9605328            
Залесянка           :::s9605329            
466 км              :::s9605351            
163 км              :::s9605379            
229 км              :::s9605381            
Промывка            :::s9605384            
4 км                :::s9605404            
46 км               :::s9605406            
108 км              :::s9605407            
118 км              :::s9605408            
169 км              :::s9605441            
Благодатка          :::s9605452            
197 км              :::s9605498            
243 км              :::s9605501            
261 км              :::s9605502            
Булгаковка          :::s9605561            
Буркин              :::s9605562            
Власовский          :::s9605564            
Новоперелюбская     :::s9605566            
Горючка             :::s9605567            
Евдокимовский       :::s9605570            
Березина Речка      :::s9605571            
Зоринский           :::s9605575            
Ивановский          :::s9605576            
Кобзаревский        :::s9605579            
11 км               :::s9605580            
17 км               :::s9605584            
Липовский           :::s9605592            
Лозиновский         :::s9605593            
Лучший              :::s9605594            
Медянниково         :::s9605598            
Натальинский        :::s9605603            
Никольский          :::s9605604            
Новоросляевский     :::s9605605            
Орбита              :::s9605606            
64 км               :::s9605607            
Глубинный           :::s9605608            
Октябрьский (11 км) :::s9605611            
Серебристый         :::s9605617            
Затон               :::s9605621            
Каменка             :::s9605622            
Терса               :::s9605623            
Усатовский          :::s9605625            
Транспортный        :::s9605628            
Полевой             :::s9605631            
22 км               :::s9605632            
47 км               :::s9605633            
58 км               :::s9605634            
82 км               :::s9605635            
Ключи               :::s9605664            
Волково             :::s9605670            
Еткары              :::s9605671            
Юльевка             :::s9605677            
Маза                :::s9605678            
Большая Таволожка   :::s9605679            
Первая Расловка     :::s9605683            
Луговое             :::s9605694            
Лодочная база       :::s9605698            
132 км              :::s9605706            
Александровка       :::s9605751            
44 км               :::s9605753            
79 км               :::s9605755            
819 км              :::s9605764            
19 км               :::s9605774            
28 км               :::s9605775            
35 км               :::s9605776            
52 км               :::s9605777            
54 км               :::s9605778            
799 км              :::s9605779            
800 км              :::s9605780            
809 км              :::s9605781            
841 км              :::s9605782            
Барановка (173 км)  :::s9605783            
Нечаевка (191 км)   :::s9605784            
Новоалексеевка (225 км):::s9605785            
Терса (251 км)      :::s9605787            
276 км              :::s9605788            
279 км              :::s9605789            
262 км              :::s9605790            
263 км              :::s9605791            
Нефтяная            :::s9605793            
802 км              :::s9605794            
269 км              :::s9605795            
Дубовый Гай (110 км):::s9605803            
Салтыковка          :::s9605806            
Афросимовский       :::s9605807            
Лопуховка           :::s9605808            
Енгалычевский       :::s9605809            
Капеллы             :::s9605810            
Кологривовка        :::s9605811            
Курдюм              :::s9605813            
Юная                :::s9605817            
Чемизовка           :::s9605818            
Жерновка            :::s9605819            
Соболевка           :::s9605820            
Подснежная          :::s9605821            
Бурасы              :::s9605822            
Карабулак           :::s9605823            
Высотная            :::s9605825            
Барнуковка          :::s9605826            
Куриловка           :::s9605827            
Казаковка           :::s9605836            
Сухой Карабулак     :::s9605837            
Тарханы             :::s9605839            
Вязовка             :::s9605840            
Багаевка            :::s9605842            
Паницкая            :::s9605843            
Бобровка            :::s9605845            
Россоша             :::s9605848            
Трофимовский 2      :::s9605896            
Иргиз               :::s9605911            
Жасминная           :::s9605912            
Князевка            :::s9605913            
Правобережный       :::s9605915            
Благодатное (68 км) :::s9605917            
Лебедево            :::s9605918            
Безымянная          :::s9605919            
90 км               :::s9605920            
Титоренко           :::s9605921            
Золотая Степь       :::s9605922            
Наливная            :::s9605923            
Рукополь            :::s9605931            
Римско-Корсаковка   :::s9605933            
Мавринка            :::s9605935            
Демьяс              :::s9605937            
Чалыкла             :::s9605938            
Жулидово            :::s9605939            
Плес                :::s9605940            
Еруслан             :::s9605942            
Зорино              :::s9605945            
Тимофеево           :::s9605946            
Малоузенск          :::s9605948            
Лепехинская         :::s9605950            
20 км               :::s9605961            
Новая Усть-Уза (35 км):::s9605970            
Березовка-1 (56 км) :::s9605973            
Антиповка (67 км)   :::s9605974            
Буровка             :::s9605977            
Вязовый Гай         :::s9605979            
Дубовый Гай         :::s9605980            
Кулатка             :::s9605981            
Чернавка            :::s9605982            
Бобровка (71 км)    :::s9605987            
Кутьино (84 км)     :::s9605991            
Жердинка (97 км)    :::s9605992            
Меркуловский (100 км):::s9605994            
Шировка (185 км)    :::s9605995            
700 км              :::s9605997            
824 км              :::s9605998            
Березовка-2 (76 км) :::s9605999            
Угольник            :::s9606000            
8 км                :::s9606001            
3 км                :::s9606002            
257 км              :::s9606015            
259 км              :::s9606016            
Северный-1 (60 км)  :::s9606018            
Город Шиханы (219 км):::s9606020            
Карьер (196 км)     :::s9606021            
157 км              :::s9606022            
Сосновка-1 (52 км)  :::s9606024            
13 км               :::s9606026            
774 км              :::s9606029            
Светлый (816 км)    :::s9606030            
822 км              :::s9606031            
837 км              :::s9606032            
Поливановка         :::s9606033            
Лесопильный         :::s9606034            
Увек                :::s9606035            
Приволжский         :::s9606036            
Короткий            :::s9606037            
888 км              :::s9606038            
Сазанка             :::s9606052            
Обл порубежка       :::s9606054            
Клевенка            :::s9606055            
Докторовка          :::s9606062            
Клёны               :::s9606065            
781 км              :::s9606070            
Кряжим              :::s9606072            
Транзитный Парк     :::s9634594            
Восход              :::s9634660            
794 км              :::s9730678            
